52.2,1119,3567,19178,1432789,1.775361896,1,255,0,92.08489723,6.745497058,103.8176944,8.53210341,118.8489723,11.21458753,198.4915103,49.47307022,198.4915103,49.47307022,105.950849,55.08533222,69.28328865,18.06188917,66.64164433,4.935840537,57.40393208,6.393577859,61.3100983,4.949963941,0,1119,0,0,0,19178,0,3567,1009,110,0,1,60,2151,10393,6147,425,1,0,1237,2330,103,1016,0,261,5223,10027,3446,220,1,0,0,506,3061,0,439,680,0,0,0,165,6118,8333,4067,491,4,0,1,222,3104,240,0,0,0,210,909,252,101,377,1207,2762,6238,5658,2583,10,678,2879,0,125,465,529,244,28,102,298,732,1610,2688,5519,4819,3138,15,1046,2506,187,662,270,6365,8955,3858,713,2174,680,20,1099,13653,5525,753,2814,126,993,1745,17433,884,2683,0,990,129,4490,14688,1199,2368,0,874,245,2979,16199,1700,1867,0,0,100,0,0,0,0,0,0,0,960
61.4,44076,9050,133773,1441213,1,1,249.2315773,19.04896118,92.91228787,16.60505763,143.8700427,21.66537742,116.2957165,20.85843467,191.9822806,57.41219643,191.9822806,57.41219643,94.32609583,72.63709748,28.21578637,13.9269178,122.5264316,25.21450312,119.7720982,26.61903145,122.5615074,26.15865042,1,44075,0,0,3,133770,0,9050,31412,12664,0,16,521,9433,29285,34060,29623,19697,11138,2400,6650,938,43138,16,2789,20783,42244,45538,20538,1864,1,0,165,8885,83,17853,26140,0,0,1,414,22144,38198,40990,27769,4257,0,10,846,5946,2219,28,1,963,8874,34239,12909,582,2236,5891,12095,22007,29026,49027,184,2616,6250,806,5100,18802,19368,12880,121,635,1760,3935,6899,11858,18480,22698,54507,252,3505,5293,15628,16835,11613,84989,40511,8273,2056,3487,3507,32049,12027,93925,39848,8527,523,1,44075,2091,131682,0,8211,839,48,44028,3110,130663,0,7019,2031,12,44064,2171,131602,0,8148,902,4.20493271,81.18177092,1.672153873,6.183214925,3.737076186,0,0,0.017328019,3.003523364,291
33.5,10384,16642,105352,1494565,1,1,251.8613595,16.8790439,100.7851168,16.50815864,86.80809538,27.83410152,76.76425344,21.82266806,165.4121719,44.67972568,165.4121719,44.67972568,119.2101721,62.5520895,50.03518892,32.46396985,79.51543121,29.55483459,69.05239881,27.11334195,73.13575618,27.2800334,0,10401,2,143,3314,101893,0,16654,5012,5389,59688,8673,9300,10333,9248,5756,2179,174,1,7253,9401,7092,3309,101,1940,8461,13385,14338,30611,28898,7319,299,4285,12369,1003,9268,130,48860,16519,8246,9749,12445,7285,2157,91,0,177,2226,7132,7114,5,0,0,37,3774,6590,7075,383,965,3308,8955,19650,24961,40055,6,873,15775,16,2017,6923,1445,6974,225,320,738,2042,4518,9819,16473,19538,44705,10,1962,14682,1515,5489,3397,92061,11928,1363,1210,11792,3652,4460,5941,79168,26184,11085,5569,2890,7511,828,104524,7608,8735,311,6533,3868,8072,97280,4315,11909,430,5197,5204,3199,102153,8570,7816,268,8.981525343,2.643297016,4.32022738,80.34107058,0.208432023,0.966366651,0,0,2.539081004,623
53.4,23449,9261,38659,1549827,1,1,254.801612,2.960425741,85.45204486,10.02171458,100.3557934,15.71482063,92.03091816,13.51677784,163.1831208,40.26108058,163.1831208,40.26108058,162.8605484,65.30490712,35.42607361,19.02625511,80.99223847,10.03879923,78.18056207,10.87425315,79.69610644,10.09417962,0,23449,0,0,0,38659,0,9261,22087,1362,22,3614,12971,15663,6059,329,1,0,0,5608,3653,7301,16148,0,77,5246,19314,12235,1671,116,0,0,9261,0,12,22461,976,0,0,4,4282,20246,13753,374,0,0,0,213,8475,571,2,0,0,41,8621,14787,4645,147,114,214,426,3466,21161,8486,75,6096,3090,17,4896,16247,2289,4586,99,137,77,130,237,580,3482,17018,12313,112,7572,1577,1593,7667,14189,19953,15448,3258,74,704,8483,12356,11093,31479,7180,3962,5299,286,23163,353,38306,1908,7353,0,2353,21096,800,37859,2188,7073,0,1135,22314,383,38276,3754,5507,0,0,2.311904279,44.04786047,0,0,0,53.64023525,0,0,1143
53,8743,8180,57041,1647562,1,1,254.9861604,0.557936581,90.88013268,13.66455326,123.9646574,22.72135348,127.8493652,25.1938597,59.15767535,31.6989192,221.1656182,39.43318108,45.81493766,36.79711602,34.82145717,13.26790582,112.6505776,11.98689284,104.1426284,14.09689296,107.143429,13.10114176,0,8743,0,0,2,57039,0,8180,6657,2086,6,82,2685,16045,23721,12475,1941,86,0,8172,8,847,7896,0,849,9022,18159,18560,9010,1416,19,6,24,8156,0,2895,5848,0,0,85,8774,19751,17610,9204,1615,2,0,356,6917,864,43,0,0,4097,4605,41,26420,18716,7729,3084,842,164,62,24,7325,855,0,53,220,2385,6085,78,39,52,104,223,556,1587,5439,17503,31460,0,173,8007,5998,2469,276,44464,11057,1520,7761,398,21,4651,4092,37512,19529,8180,0,0,8743,410,56631,0,2391,5789,25,8718,5845,51196,0,198,7982,0,8743,2707,54334,0,1971,6209,9.296522859,76.60173857,1.255634256,2.100772698,10.74533162,0,0,0,0,626
57,38568,10796,59877,1646330,1.095269442,1,255,0,96.70369218,13.82977514,99.79734495,20.41885287,125.3611803,14.65325164,141.3190552,45.24993454,183.3092979,32.08867851,164.6610921,60.72340739,46.22477183,19.63612148,89.31025721,11.29516338,77.19498029,13.72712801,81.12144783,12.20252341,0,38568,0,0,0,59877,0,10796,25054,13514,0,514,19400,27800,11443,720,0,0,0,9177,1619,13395,25173,0,92,6328,13118,23174,16198,945,22,0,887,9909,1,10437,28130,0,0,0,0,1,5897,21934,30150,1895,0,0,74,4274,6307,141,0,993,19724,17851,39155,18494,1869,314,39,5,1,0,3144,6000,1652,15,2152,29289,7112,0,1,1,4,19,94,648,3716,15913,39481,56,2888,7852,1076,14364,23128,57458,2380,39,3801,5175,1820,12464,26104,35262,24615,9155,1641,49,38519,1745,58132,89,10426,281,6805,31763,2439,57438,160,9268,1368,1368,37200,1747,58130,352,10055,389,1.634041418,0.490212425,95.15790176,0,0,0,2.717844399,0,0,348
68.1,34103,10987,82042,1557887,1,1,255,0,166.7867343,14.73067095,73.01756444,14.82498379,114.0057473,22.28442487,89.07780366,30.27279022,89.07780366,30.27279022,74.37005542,36.97393144,31.88933525,21.61350999,63.01369381,27.78643756,60.16444301,22.7606916,61.26560713,24.51733358,0,34103,0,0,0,82042,0,10987,1,34102,0,0,2,25,716,7550,20635,23867,29247,281,10706,30766,3337,6,3616,20209,35552,21051,1578,30,0,0,5226,5761,8,18698,15397,0,0,0,67,5420,13898,17043,29607,16007,0,67,2354,6210,2268,88,0,3249,30037,817,58893,17070,3849,1388,578,176,58,30,6283,4643,61,1907,28490,3655,51,34983,33440,8444,2755,1299,633,290,113,47,38,7177,3790,20,9146,23461,1496,79894,2126,22,8399,2497,91,18622,15481,65137,16905,10581,406,11898,22205,13967,68075,2531,6884,1572,18220,15883,16832,65210,1967,5989,3031,16047,18056,14855,67187,2437,6902,1648,99.52650008,0.011936973,0,0.095495782,0.107432755,0.25863441,0,0,0,272
54.9,1418,0,42456,1575378,1.259991646,1,255,0,91.65091678,7.096581612,111.6241185,9.830771873,120.9414669,11.11694878,42.92163374,18.74519696,235.825811,34.38314131,79.60648801,45.43423687,38.08039492,18.36678054,83.61706629,10.12187786,80.57616361,6.424430388,82.84767278,6.419640455,0,1418,0,0,0,42456,0,0,1260,158,0,74,3823,19990,17310,1259,0,0,0,0,0,53,1365,0,137,13133,20614,7900,672,0,0,0,0,0,0,487,931,0,0,88,6978,16508,13850,4697,331,4,0,0,0,0,0,0,0,1039,374,5,26138,14221,1731,317,48,1,0,0,0,0,0,0,31,190,1197,38,195,433,814,1301,1683,2197,2703,3335,29757,0,0,0,456,861,101,36942,5343,171,0,0,0,801,617,28264,14192,0,0,0,1418,154,42302,0,0,0,0,1418,805,41651,0,0,0,0,1418,326,42130,0,0,0,1.54185022,50.66079295,0,0,47.79735683,0,0,0,0,554
57.2,6552,3265,32402,1429943,1.062132239,1,254.9955739,0.358270503,112.2747253,17.80089466,115.9001832,19.18059939,142.9627595,28.08976853,199.9848901,36.06278025,199.9848901,36.06278025,91.46916972,40.64138839,36.48321123,14.82445055,104.7290904,13.78272052,96.33104396,12.70513237,99.66025641,12.50383382,0,6552,0,0,0,32402,0,3265,1922,4630,0,0,13,316,3061,9178,11471,6344,2019,2699,566,746,5806,0,521,13179,13987,4342,356,17,0,0,22,3243,2,1142,5408,0,0,1,3550,13383,8308,5368,1763,29,0,0,91,1747,1188,221,18,0,655,5897,272,4,15,105,550,2778,13708,14970,0,108,3157,0,308,3279,2965,271,1,5,11,56,215,709,2648,9822,18664,3,171,3091,1016,4830,706,25189,7069,144,2293,956,16,3260,3292,19679,12723,3195,70,0,6552,12,32390,0,2133,1132,0,6552,298,32104,0,1036,2229,0,6552,80,32322,0,1991,1274,0,99.91487551,0,0,0,0,0.085124495,0,0,509
70.9,17582,33112,96433,1415647,1,1,255,0,108.7303492,16.18979172,88.58719145,20.15110124,92.41610738,22.48340844,70.76513447,40.39817283,147.4646229,43.16454503,62.18103742,46.9225544,39.54123535,15.28397855,87.86144921,15.10612872,89.58463201,15.59938271,90.45643272,15.34355653,0,17582,0,0,2,96431,1,33111,4662,12920,11,71,2768,17510,32287,24415,13472,4676,1223,4877,28235,10575,7007,122,4806,21033,34962,28544,6367,555,44,0,12273,20839,423,14625,2534,6,117,11363,35684,28893,19567,777,25,1,727,5746,16964,7806,1776,91,2,6700,10292,590,80196,12176,2990,844,173,49,5,0,25483,7246,383,31,6235,9417,1899,26272,309,357,688,2500,9165,16714,16167,11720,12541,182,10618,22312,8587,7856,1139,91207,5086,140,25058,7449,605,7672,9910,59819,36614,28333,4779,209,17373,17,96416,4708,28307,97,536,17046,983,95450,702,29754,2656,292,17290,97,96336,2175,30655,282,0,96.3861988,0.205424894,0.00838469,0.637236406,0,0,2.733408796,0.029346413,1170
